DATETIME,PREASSURE
2008/10/16 23:27:51.273,4.995
2008/10/16 23:27:51.163,4.995
2008/10/16 23:27:51.053,4.995
2008/10/16 23:27:50.943,4.995
2008/10/16 23:27:50.833,4.998
2008/10/16 23:27:50.727,4.995
2008/10/16 23:27:50.617,4.998
2008/10/16 23:27:50.507,4.995
2008/10/16 23:27:50.397,4.998
2008/10/16 23:27:50.287,4.995
2008/10/16 23:27:50.177,4.995
2008/10/16 23:27:50.070,4.995
2008/10/16 23:27:49.960,4.995
2008/10/16 23:27:49.850,4.995
2008/10/16 23:27:49.740,4.998
2008/10/16 23:27:49.630,4.995
2008/10/16 23:27:49.523,4.995
2008/10/16 23:27:49.413,4.995
2008/10/16 23:27:49.303,4.995
2008/10/16 23:27:49.193,4.998
2008/10/16 23:27:49.100,4.998
2008/10/16 23:27:48.977,4.995
2008/10/16 23:27:48.867,4.998
2008/10/16 23:27:48.757,4.998
2008/10/16 23:27:48.647,4.998
2008/10/16 23:27:48.537,4.995
2008/10/16 23:27:48.427,4.995
2008/10/16 23:27:48.320,4.998
2008/10/16 23:27:48.210,4.998
2008/10/16 23:27:48.100,4.995
2008/10/16 23:27:47.990,4.995
2008/10/16 23:27:47.880,4.995
2008/10/16 23:27:47.773,4.995
2008/10/16 23:27:47.663,4.995
2008/10/16 23:27:47.553,4.998
2008/10/16 23:27:47.443,4.995
2008/10/16 23:27:47.333,4.995
2008/10/16 23:27:47.227,4.995
2008/10/16 23:27:47.117,4.998
2008/10/16 23:27:47.007,4.995
2008/10/16 23:27:46.897,4.995
2008/10/16 23:27:46.787,4.998
2008/10/16 23:27:46.677,4.995
2008/10/16 23:27:46.570,4.995
2008/10/16 23:27:46.460,4.995
2008/10/16 23:27:46.350,4.995
2008/10/16 23:27:46.240,4.995
2008/10/16 23:27:46.130,4.995
2008/10/16 23:27:46.023,4.998
2008/10/16 23:27:45.913,4.995
2008/10/16 23:27:45.803,4.993
2008/10/16 23:27:45.693,4.993
2008/10/16 23:27:45.600,4.995
2008/10/16 23:27:45.477,4.995
2008/10/16 23:27:45.367,4.998
2008/10/16 23:27:45.257,4.995
2008/10/16 23:27:45.147,4.995
2008/10/16 23:27:45.037,4.998
2008/10/16 23:27:44.927,4.995
2008/10/16 23:27:44.820,4.998
2008/10/16 23:27:44.710,4.995
2008/10/16 23:27:44.600,4.995
2008/10/16 23:27:44.490,4.998
2008/10/16 23:27:44.380,4.995
2008/10/16 23:27:44.273,4.995
2008/10/16 23:27:44.163,4.995
2008/10/16 23:27:44.053,4.995
2008/10/16 23:27:43.943,4.995
2008/10/16 23:27:43.833,4.998
2008/10/16 23:27:43.727,4.995
2008/10/16 23:27:43.617,4.995
2008/10/16 23:27:43.507,4.995
2008/10/16 23:27:43.397,4.995
2008/10/16 23:27:43.287,4.995
2008/10/16 23:27:43.177,4.995
2008/10/16 23:27:43.070,4.995
2008/10/16 23:27:42.960,4.995
2008/10/16 23:27:42.850,4.995
2008/10/16 23:27:42.740,4.995
2008/10/16 23:27:42.630,4.995
