INDEX,STEP1_PROC_TIME,STEP2_PROC_TIME,STEP3_PROC_TIME,STEP_1_DIS,STEP_2_DIS,STEP_3_DIS,STEP_1_STD,STEP_2_STD,STEP_3_STD,  VAC_VAL,END_POINT,TOTAL_PROCTIME,
-2146282807,194,215,169,42.38167,81.69058,102.386284,0.0752357,0.170161992,0.473780185,0.4675598,408,579,28.95
-2146282805,189,216,168,36.3960381,85.61236,102.479324,0.060659844,0.176029608,0.476962835,0.4651358,404,574,28.7
-2146282801,190,215,171,34.8288,85.70878,112.174126,0.05720557,0.170744613,0.5170126,0.4675598,404,577,28.85
-2146282799,192,218,170,36.6247444,86.5319443,108.799522,0.057717066,0.176128045,0.5033104,0.4675598,409,581,29.05
-2146282795,191,215,172,37.016304,85.02073,113.512222,0.061113425,0.1680087,0.5277929,0.4675598,405,579,28.95
-2146282793,194,217,171,40.46909,85.34737,106.68187,0.06945521,0.172757313,0.486027449,0.4651358,410,583,29.15
-2146282791,192,215,171,36.49831,83.8084641,110.907166,0.06065225,0.170839623,0.5162131,0.4651358,406,579,28.95
-2146282789,190,217,170,35.7306557,86.56901,108.195633,0.057357144,0.175733089,0.5055782,0.4675598,406,578,28.9
-2146282787,191,216,170,36.7496338,85.53337,106.0733,0.06269519,0.168235451,0.492941439,0.4651358,406,578,28.9
-2146282785,193,216,171,38.10506,83.23711,106.407883,0.064197704,0.1731335,0.493285418,0.4711958,408,581,29.05
-2146282778,192,216,170,38.4058533,84.20734,105.478867,0.065016106,0.169184133,0.484933943,0.4711958,407,579,28.95
-2146282775,191,221,171,34.93824,90.26209,108.025909,0.050570577,0.177474618,0.4958565,0.4651358,411,584,29.2
-2146282773,190,218,170,35.6312,85.36911,106.136673,0.054691125,0.177257672,0.491943777,0.4711958,407,579,28.95
-2146282771,190,216,171,35.55629,84.9738541,111.471375,0.056196444,0.17416355,0.523949862,0.4736198,405,578,28.9
-2146282769,190,217,171,34.55836,86.39236,109.492157,0.05500863,0.1714446,0.504578,0.4675598,406,579,28.95
-2146282767,190,219,171,33.95681,87.78957,110.842339,0.05063473,0.170219585,0.516947269,0.4675598,408,581,29.05
-2146282761,192,218,172,38.4577026,85.3501053,110.656372,0.060200986,0.177123874,0.5064202,0.4711958,409,583,29.15
