"","LOTNO","PRODUCTNO","MONO","RUN_SEQ","WT","GR","SPC_VALUE","SPC_RANGE","PRE_CIE_X_AVG","PRE_CIE_Y_AVG","CIE_X_AVG","CIE_Y_AVG"
"1","401P58108P00","95.T4014.A0B00CZ","T05TM81509-142CQI302","0","17.86 ","5.40 ",75.5,16,"0.2978 ","0.2731 ","NULL","NULL"
"2","T70P57C1QX00","95.T7020.Z0C11BZ","T05TM7C729-052D6HH01","0","11.80 ","29.30 ",130.5,31,"0.3112 ","0.2777 ","0.3052 ","0.2808 "
"3","T30P5811A000","95.T3030.Z0D019Z","T05TM81333-162CMJV01","0","14.10 ","63.50 ",53.83,17,"0.2824 ","0.2718 ","0.2665 ","0.2295 "
"4","380P58150H00","95.S3806.W0A0B0Z","T05TM82608-0W3BEAF01","2","27.00 ","0.00 ",46.17,19,"0.2874 ","0.2815 ","0.2754 ","0.2422 "
"5","380P5810FC00","95.S3806.W0A0C8Z","T05TM7C621-0W4C7H301","0","33.50 ","0.00 ",41.5,11,"0.2911 ","0.2914 ","0.2828 ","0.2601 "
"6","T30P57C2F100","95.T3030.Z0D013Z","T05TM7C322-163CMJV02","0","15.50 ","54.00 ",58.33,18,"0.2945 ","0.2874 ","NULL","NULL"
"7","T70P5811M100","95.T7020.Z0C114Z","T05TM81F01-016D4IA01","2","9.60 ","10.50 ",74.5,35,"0.3034 ","0.2749 ","0.2959 ","0.2733 "
"8","T70P5811X100","95.T7020.Z0C11BZ","T05TM81716-053D6GX01","0","12.00 ","22.90 ",140,18,"0.3117 ","0.2805 ","0.3045 ","0.2782 "
"9","T70P5811XD00","95.T7020.Z0C11BZ","T05TM81716-053D6GX01","0","12.00 ","22.90 ",129.33,19,"0.3103 ","0.2781 ","0.3058 ","0.2814 "
"10","380P58113200","95.S3806.W0A0C8Z","T05TM7C626-0W3C7JC02","1","32.00 ","0.00 ",31,8,"0.2884 ","0.2871 ","0.2850 ","0.2607 "
"11","T70P5812PF00","95.T7020.Z0C11BZ","T05TM82701-052D6GX01","0","12.40 ","30.10 ",109.33,50,"0.3124 ","0.2816 ","0.3061 ","0.2835 "
"12","380P5815NK00","95.S3806.W0A0C8Z","T05TM81620-0W3C7JC01","0","31.85 ","0.00 ",28.17,9,"0.2933 ","0.2928 ","0.2869 ","0.2632 "
"13","T70P5821FD00","95.T7020.Z0C11BZ","T05TM82715-052D6GX01","0","15.00 ","32.00 ",133,44,"0.3236 ","0.3010 ","0.3151 ","0.2973 "
"14","S06P5820MF00","95.S3806.W0A0D6Z","T05TM82606-0W2C7JC02","0","23.05 ","0.00 ",44.67,30,"0.2910 ","0.2926 ","0.2855 ","0.2623 "
"15","T70P58134600","95.T7020.Z0C11BZ","T05TM82701-052D6GX01","0","12.40 ","30.10 ",86.17,23,"0.3113 ","0.2798 ","0.3051 ","0.2812 "
"16","S06P5821V700","95.S3006.W0A0B6Z","T05TM82508-0W2C7JC01","0","22.75 ","0.00 ",45.17,11,"0.2775 ","0.2729 ","0.2866 ","0.2663 "
"17","401P58200S00","95.T4014.A0B00CZ","T05TM82514-143CQC501","0","17.90 ","5.50 ",79.17,34,"0.2984 ","0.2748 ","0.2827 ","0.2511 "
"18","T30P5830PA03","95.T3030.A0C100Z","T05TM83314-163BRLW01","1","60.00 ","0.70 ",65.83,9,"0.2728 ","0.2461 ","0.2544 ","0.2367 "
"19","T30P58304G00","95.T3030.Z0D01AZ","T05TM83306-162CUJH01","2","16.00 ","75.00 ",51.33,13,"0.2959 ","0.2921 ","0.2799 ","0.2506 "
"20","T30P5821FK00","95.T3030.A0D00FZ","T05TM82320-163BTII01","2","56.50 ","0.31 ",52.67,9,"0.2999 ","0.2670 ","0.2787 ","0.2485 "
"21","T70P58221T00","95.T7020.Z0C11CZ","T05TM82721-015D6GX01","0","16.55 ","14.90 ",116.67,36,"0.3304 ","0.3182 ","0.3215 ","0.3095 "
"22","401P58201900","95.T4014.A0B00CZ","T05TM82514-143CQC501","0","17.90 ","5.50 ",72.83,23,"0.2958 ","0.2727 ","0.2811 ","0.2490 "
"23","S06P5821XK00","95.S3006.W0A0B6Z","T05TM82508-0W2C7JC01","0","22.75 ","0.00 ",32.5,17,"0.2787 ","0.2756 ","0.2859 ","0.2646 "
"24","T30P5821RU02","95.T3030.Z0D01QZ","T05TM82329-163CZHH01","1","13.65 ","55.00 ",55,12,"0.2865 ","0.2721 ","NULL","NULL"
"25","T30P58301400","95.T3030.A0D10BZ","T05TM82326-164CZGX01","0","42.08 ","0.34 ",89.83,26,"0.2719 ","0.2405 ","NULL","NULL"
"26","T70P5822TT00","95.T7020.Z0C11BZ","T05TM82723-053D6GX01","0","12.85 ","24.30 ",113.83,60,"0.3142 ","0.2862 ","0.3099 ","0.2874 "
"27","T30P58301N00","95.T3030.Z0D01KZ","T05TM82G02-163DAHH01","0","14.30 ","68.00 ",60.33,20,"0.2902 ","0.2788 ","0.2782 ","0.2481 "
"28","T30P5830F500","95.T3030.W0D003Z","T05TM83311-162CZHH01","0","11.25 ","0.00 ",52.67,6,"0.2686 ","0.2534 ","0.2609 ","0.2274 "
"29","S06P5830VA00","95.S3006.W0A0B8Z","T05TM83013-0W3C7JC01","0","17.00 ","0.00 ",41.5,12,"0.2849 ","0.2737 ","0.2886 ","0.2574 "
"30","380P58401N00","95.S3806.W0A0AZZ","T05TM84605-0W3B1LG01","0","31.10 ","0.00 ",41.33,22,"0.2979 ","0.3025 ","0.2870 ","0.2650 "
"31","T30P58320900","95.T3030.A0D00FZ","T05TM83317-162BTK802","0","57.60 ","0.30 ",77.17,27,"0.3038 ","0.2743 ","0.2803 ","0.2519 "
"32","380P5840DD00","95.S3806.W0A0C8Z","T05TM84609-0W3C7H301","0","31.00 ","0.00 ",44.5,17,"0.2985 ","0.3017 ","0.2858 ","0.2615 "
"33","380P58428P00","95.S3806.W0A0E0Z","T05TM84624-042B1DA01","0","32.65 ","0.00 ",56.67,24,"0.2977 ","0.2969 ","0.2876 ","0.2598 "
"34","380P58428P00","95.S3806.W0A0E0Z","T05TM84624-042B1DA01","0","33.25 ","0.00 ",56.67,24,"0.2977 ","0.2969 ","0.2876 ","0.2598 "
"35","380P5843TE00","95.S3806.W0A0AZZ","T05TM84605-0W3B1LG02","0","31.50 ","0.00 ",33,18,"0.2937 ","0.2937 ","0.2850 ","0.2616 "
"36","380P5842BK00","95.S3806.W0A0C8Z","T05TM84609-0W3C7H301","0","31.00 ","0.00 ",38,26,"0.2958 ","0.2965 ","0.2864 ","0.2617 "
